Title,Director,Stars,IMDb-Rating,Category,Duration,Censor-board-rating,Fecha_estreno,Contiene Sexo,Recaudación(en millones de dólares)
American Psycho,MaryHarron,"ChristianBale, JustinTheroux, JoshLucas, BillSage",7.6,"Crime,Drama,Horror",102min,A,06/12/2002,FALSE,"153,24"
Avengers: Endgame,"AnthonyRusso,",", RobertDowneyJr., ChrisEvans, MarkRuffalo, ChrisHemsworth",8.4,"Action,Adventure,Drama",181min,UA,06/02/1926,FALSE,"258,27"
Star Wars: Episode III - Revenge of the Sith,GeorgeLucas,"HaydenChristensen, NataliePortman, EwanMcGregor, SamuelL.Jackson",7.6,"Action,Adventure,Fantasy",140min,U,05/11/1903,FALSE,"138,68"
The Gentlemen,GuyRitchie,"MatthewMcConaughey, CharlieHunnam, MichelleDockery, JeremyStrong",7.8,"Action,Comedy,Crime",113min,A,26/08/1987,TRUE,"225,678"
Whiplash,DamienChazelle,"MilesTeller, J.K.Simmons, MelissaBenoist, PaulReiser",8.5,"Drama,Music",106min,A,15/02/1995,TRUE,"272,275"
The Dark Knight,ChristopherNolan,"ChristianBale, HeathLedger, AaronEckhart, MichaelCaine",9,"Action,Crime,Drama",152min,UA,03/07/1960,TRUE,"183,915"
Interstellar,ChristopherNolan,"MatthewMcConaughey, AnneHathaway, JessicaChastain, MackenzieFoy",8.6,"Adventure,Drama,Sci-Fi",169min,UA,06/01/1978,FALSE,"170,685"
Joker,ToddPhillips,"JoaquinPhoenix, RobertDeNiro, ZazieBeetz, FrancesConroy",8.4,"Crime,Drama,Thriller",122min,A,13/10/1980,FALSE,"166,714"
Knives Out,RianJohnson,"DanielCraig, ChrisEvans, AnadeArmas, JamieLeeCurtis",7.9,"Comedy,Crime,Drama",130min,UA,22/01/1971,TRUE,"264,025"
CODA,SianHeder,"EmiliaJones, MarleeMatlin, TroyKotsur, DanielDurant",8,"Comedy,Drama,Music",111min,A,26/11/1978,FALSE,"70,206"
The Fifth Element,LucBesson,"BruceWillis, MillaJovovich, GaryOldman, IanHolm",7.6,"Action,Adventure,Sci-Fi",126min,UA,29/10/2016,FALSE,"155,633"
Verdens verste menneske,JoachimTrier,"RenateReinsve, AndersDanielsenLie, HerbertNordrum, HansOlavBrenner",7.9,"Comedy,Drama,Romance",128min,R,28/12/1970,TRUE,"180,957"
Avatar,JamesCameron,"SamWorthington, ZoeSaldana, SigourneyWeaver, MichelleRodriguez",7.8,"Action,Adventure,Fantasy",162min,UA,06/01/1943,FALSE,"171,353"
Mission: Impossible - Fallout,ChristopherMcQuarrie,"TomCruise, HenryCavill, VingRhames, SimonPegg",7.7,"Action,Adventure,Thriller",147min,UA,08/12/2005,TRUE,"102,356"
Inception,ChristopherNolan,"LeonardoDiCaprio, JosephGordon-Levitt, ElliotPage, KenWatanabe",8.8,"Action,Adventure,Sci-Fi",148min,UA,06/04/2013,TRUE,"66,503"
The Departed,MartinScorsese,"LeonardoDiCaprio, MattDamon, JackNicholson, MarkWahlberg",8.5,"Crime,Drama,Thriller",151min,A,03/03/1981,FALSE,"45,035"
K.G.F: Chapter 2,PrashanthNeel,"Yash, SanjayDutt, RaveenaTandon, SrinidhiShetty",8.6,"Action,Crime,Drama",168min,UA,10/07/1984,FALSE,"67,285"
Saving Private Ryan,StevenSpielberg,"TomHanks, MattDamon, TomSizemore, EdwardBurns",8.6,"Drama,War",169min,A,30/11/1959,FALSE,"284,995"
1917,SamMendes,"Dean-CharlesChapman, GeorgeMacKay, DanielMays, ColinFirth",8.2,"Action,Drama,War",119min,R,21/11/1988,FALSE,"209,054"
Forrest Gump,RobertZemeckis,"TomHanks, RobinWright, GarySinise, SallyField",8.8,"Drama,Romance",142min,UA,01/01/1931,FALSE,"160,237"
The Grand Budapest Hotel,WesAnderson,"RalphFiennes, F.MurrayAbraham, MathieuAmalric, AdrienBrody",8.1,"Adventure,Comedy,Crime",99min,UA,22/05/1974,FALSE,"126,953"
Pulp Fiction,QuentinTarantino,"JohnTravolta, UmaThurman, SamuelL.Jackson, BruceWillis",8.9,"Crime,Drama",154min,A,02/01/1954,TRUE,"16,354"
The Wolf of Wall Street,MartinScorsese,"LeonardoDiCaprio, JonahHill, MargotRobbie, MatthewMcConaughey",8.2,"Biography,Comedy,Crime",180min,A,29/09/2004,TRUE,"59,288"
Requiem for a Dream,DarrenAronofsky,"EllenBurstyn, JaredLeto, JenniferConnelly, MarlonWayans",8.3,Drama,102min,A,07/08/1945,TRUE,"163,53"
Heat,MichaelMann,"AlPacino, RobertDeNiro, ValKilmer, JonVoight",8.3,"Action,Crime,Drama",170min,A,02/05/1937,TRUE,"79,853"
Back to the Future,RobertZemeckis,"MichaelJ.Fox, ChristopherLloyd, LeaThompson, CrispinGlover",8.5,"Adventure,Comedy,Sci-Fi",116min,U,04/08/1912,TRUE,"238,086"
Blade Runner 2049,DenisVilleneuve,"HarrisonFord, RyanGosling, AnadeArmas, DaveBautista",8,"Action,Drama,Mystery",164min,UA,02/04/1925,FALSE,"7,79"
Taxi Driver,MartinScorsese,"RobertDeNiro, JodieFoster, CybillShepherd, AlbertBrooks",8.2,"Crime,Drama",114min,A,10/12/1964,TRUE,"94,357"
Fight Club,DavidFincher,"BradPitt, EdwardNorton, MeatLoaf, ZachGrenier",8.8,Drama,139min,A,23/10/1922,FALSE,"255,698"
Rogue One,GarethEdwards,"FelicityJones, DiegoLuna, AlanTudyk, DonnieYen",7.8,"Action,Adventure,Sci-Fi",133min,UA,28/02/1947,TRUE,"286,725"
Watchmen,ZackSnyder,"JackieEarleHaley, PatrickWilson, CarlaGugino, MalinAkerman",7.6,"Action,Drama,Mystery",162min,A,01/05/2000,TRUE,"17,958"
The Godfather Part II,FrancisFordCoppola,"AlPacino, RobertDeNiro, RobertDuvall, DianeKeaton",9,"Crime,Drama",202min,A,28/09/1954,TRUE,"153,736"
Ghostbusters,IvanReitman,"BillMurray, DanAykroyd, SigourneyWeaver, HaroldRamis",7.8,"Action,Comedy,Fantasy",105min,UA,04/03/1930,TRUE,"119,401"
Inglourious Basterds,QuentinTarantino,"BradPitt, DianeKruger, EliRoth, MélanieLaurent",8.3,"Adventure,Drama,War",153min,A,28/01/1965,TRUE,"153,204"
Léon,LucBesson,"JeanReno, GaryOldman, NataliePortman, DannyAiello",8.5,"Action,Crime,Drama",110min,A,11/08/1925,FALSE,"88,69"
Schindlers List,StevenSpielberg,"LiamNeeson, RalphFiennes, BenKingsley, CarolineGoodall",9,"Biography,Drama,History",195min,A,03/08/1909,FALSE,"127,967"
The Lord of the Rings: The Fellowship of the Ring,PeterJackson,"ElijahWood, IanMcKellen, OrlandoBloom, SeanBean",8.8,"Action,Adventure,Drama",178min,U,05/04/1928,TRUE,"224,8"
The Silence of the Lambs,JonathanDemme,"JodieFoster, AnthonyHopkins, LawrenceA.Bonney, KasiLemmons",8.6,"Crime,Drama,Thriller",118min,A,18/11/1970,TRUE,"175,289"
Avengers: Infinity War,"AnthonyRusso,",", RobertDowneyJr., ChrisHemsworth, MarkRuffalo, ChrisEvans",8.4,"Action,Adventure,Sci-Fi",149min,UA,31/01/1967,TRUE,"14,448"
Gisaengchung,BongJoonHo,"SongKang-ho, Sun-kyunLee, ChoYeo-jeong, ChoiWoo-sik",8.5,"Comedy,Drama,Thriller",132min,A,24/11/1986,TRUE,"119,448"
Paddington 2,PaulKing,"BenWhishaw, HughGrant, HughBonneville, SallyHawkins",7.8,"Adventure,Comedy,Family",103min,U,17/10/1927,FALSE,"250,835"
The Wizard of Oz,"VictorFleming,","MervynLeRoy, NormanTaurog, RichardThorpe, KingVidor, , JudyGarland, FrankMorgan, RayBolger, BertLahr",8.1,"Adventure,Family,Fantasy",102min,U,15/06/1979,TRUE,"141,136"
Thor: Ragnarok,TaikaWaititi,"ChrisHemsworth, TomHiddleston, CateBlanchett, MarkRuffalo",7.9,"Action,Adventure,Comedy",130min,UA,21/01/1912,FALSE,"93,259"
Tombstone,"GeorgeP.Cosmatos,",", KurtRussell, ValKilmer, SamElliott, BillPaxton",7.8,"Biography,Drama,History",130min,UA,25/02/1950,FALSE,"255,966"
Zack Snyders Justice League,ZackSnyder,"HenryCavill, BenAffleck, GalGadot, AmyAdams",8,"Action,Adventure,Fantasy",242min,S,29/05/2010,TRUE,"69,969"
Edward Scissorhands,TimBurton,"JohnnyDepp, WinonaRyder, DianneWiest, AnthonyMichaelHall",7.9,"Drama,Fantasy,Romance",105min,U,27/03/1908,FALSE,"77,654"
Deadpool,TimMiller,"RyanReynolds, MorenaBaccarin, T.J.Miller, EdSkrein",8,"Action,Adventure,Comedy",108min,R,02/09/1957,FALSE,"171,332"
Bohemian Rhapsody,BryanSinger,"RamiMalek, LucyBoynton, GwilymLee, BenHardy",7.9,"Biography,Drama,Music",134min,UA,01/08/1991,TRUE,"57,309"
Guardians of the Galaxy,JamesGunn,"ChrisPratt, VinDiesel, BradleyCooper, ZoeSaldana",8,"Action,Adventure,Comedy",121min,UA,28/05/1970,FALSE,"19,801"
Alien,RidleyScott,"SigourneyWeaver, TomSkerritt, JohnHurt, VeronicaCartwright",8.5,"Horror,Sci-Fi",117min,R,02/11/1981,FALSE,"53,061"
Star Wars: Episode VII - The Force Awakens,J.J.Abrams,"DaisyRidley, JohnBoyega, OscarIsaac, DomhnallGleeson",7.8,"Action,Adventure,Sci-Fi",138min,U,28/05/1987,TRUE,"124,69"
Django Unchained,QuentinTarantino,"JamieFoxx, ChristophWaltz, LeonardoDiCaprio, KerryWashington",8.4,"Drama,Western",165min,A,14/05/1939,TRUE,"134,657"
Se7en,DavidFincher,"MorganFreeman, BradPitt, KevinSpacey, AndrewKevinWalker",8.6,"Crime,Drama,Mystery",127min,A,21/07/1974,TRUE,"20,064"
Star Wars: Episode VI - Return of the Jedi,RichardMarquand,"MarkHamill, HarrisonFord, CarrieFisher, BillyDeeWilliams",8.3,"Action,Adventure,Fantasy",131min,U,03/01/1910,TRUE,"61,751"
Predator,JohnMcTiernan,"ArnoldSchwarzenegger, CarlWeathers, KevinPeterHall, ElpidiaCarrillo",7.8,"Action,Adventure,Horror",107min,A,14/12/2007,FALSE,"294,181"
Gone Girl,DavidFincher,"BenAffleck, RosamundPike, NeilPatrickHarris, TylerPerry",8.1,"Drama,Mystery,Thriller",149min,A,26/08/1906,FALSE,"293,401"
Get Out,JordanPeele,"DanielKaluuya, AllisonWilliams, BradleyWhitford, CatherineKeener",7.7,"Horror,Mystery,Thriller",104min,A,05/03/1933,FALSE,"237,256"
Apocalypse Now,FrancisFordCoppola,"MartinSheen, MarlonBrando, RobertDuvall, FredericForrest",8.5,"Drama,Mystery,War",147min,R,06/05/1900,FALSE,"70,878"
300,ZackSnyder,"GerardButler, LenaHeadey, DavidWenham, DominicWest",7.6,"Action,Drama",117min,A,02/04/1975,TRUE,"246,22"
The Empire Strikes Back,IrvinKershner,"MarkHamill, HarrisonFord, CarrieFisher, BillyDeeWilliams",8.7,"Action,Adventure,Fantasy",124min,UA,24/03/1931,FALSE,"123,012"
Kingsman: The Secret Service,MatthewVaughn,"ColinFirth, TaronEgerton, SamuelL.Jackson, MichaelCaine",7.7,"Action,Adventure,Comedy",129min,A,18/07/1930,FALSE,"82,757"
The Matrix,"LanaWachowski,",", KeanuReeves, LaurenceFishburne, Carrie-AnneMoss, HugoWeaving",8.7,"Action,Sci-Fi",136min,A,20/05/1941,TRUE,"16,598"
Gladiator,RidleyScott,"RussellCrowe, JoaquinPhoenix, ConnieNielsen, OliverReed",8.5,"Action,Adventure,Drama",155min,UA,11/01/1983,FALSE,"39,02"
The Breakfast Club,JohnHughes,"EmilioEstevez, JuddNelson, MollyRingwald, AllySheedy",7.8,"Comedy,Drama",97min,UA,20/09/1936,FALSE,"273,585"
Hacksaw Ridge,MelGibson,"AndrewGarfield, SamWorthington, LukeBracey, TeresaPalmer",8.1,"Biography,Drama,History",139min,A,05/11/1991,TRUE,"219,021"
Her,SpikeJonze,"JoaquinPhoenix, AmyAdams, ScarlettJohansson, RooneyMara",8,"Drama,Romance,Sci-Fi",126min,A,02/01/1959,TRUE,"253,794"
The Dark Knight Rises,ChristopherNolan,"ChristianBale, TomHardy, AnneHathaway, GaryOldman",8.4,"Action,Drama",164min,UA,10/07/1902,TRUE,"14,776"
Mad Max: Fury Road,GeorgeMiller,"TomHardy, CharlizeTheron, NicholasHoult, ZoëKravitz",8.1,"Action,Adventure,Sci-Fi",120min,UA,29/05/1981,TRUE,"183,523"
Once Upon a Time in America,SergioLeone,"RobertDeNiro, JamesWoods, ElizabethMcGovern, TreatWilliams",8.3,"Crime,Drama",229min,A,09/08/1960,TRUE,"116,106"
Prisoners,DenisVilleneuve,"HughJackman, JakeGyllenhaal, ViolaDavis, MelissaLeo",8.1,"Crime,Drama,Mystery",153min,A,19/08/1947,TRUE,"16,195"
Call Me by Your Name,LucaGuadagnino,"ArmieHammer, TimothéeChalamet, MichaelStuhlbarg, AmiraCasar",7.8,"Drama,Romance",132min,UA,03/08/1905,TRUE,"246,776"
Ford v Ferrari,JamesMangold,"MattDamon, ChristianBale, JonBernthal, CaitríonaBalfe",8.1,"Action,Biography,Drama",152min,UA,12/07/1990,TRUE,"237,111"
The Irishman,MartinScorsese,"RobertDeNiro, AlPacino, JoePesci, HarveyKeitel",7.8,"Biography,Crime,Drama",209min,UA,16/11/1931,FALSE,"220,255"
Black Swan,DarrenAronofsky,"NataliePortman, MilaKunis, VincentCassel, WinonaRyder",8,"Drama,Thriller",108min,A,17/10/1930,FALSE,"255,035"
Full Metal Jacket,StanleyKubrick,"MatthewModine, R.LeeErmey, ""VincentDOnofrio,"", AdamBaldwin",8.3,"Drama,War",116min,UA,07/04/1996,FALSE,"251,975"
Harry Potter and the Deathly Hallows: Part 1,DavidYates,"DanielRadcliffe, EmmaWatson, RupertGrint, BillNighy",7.7,"Adventure,Family,Fantasy",146min,UA,10/05/1966,TRUE,"257,856"
No Country for Old Men,"EthanCoen,",", TommyLeeJones, JavierBardem, JoshBrolin, WoodyHarrelson",8.2,"Crime,Drama,Thriller",122min,S,07/10/1933,TRUE,"161,229"
A Few Good Men,RobReiner,"TomCruise, JackNicholson, DemiMoore, KevinBacon",7.7,"Drama,Thriller",138min,U,05/06/1963,TRUE,"41,391"
Ex Machina,AlexGarland,"AliciaVikander, DomhnallGleeson, OscarIsaac, SonoyaMizuno",7.7,"Drama,Sci-Fi,Thriller",108min,UA,22/07/1900,TRUE,"167,059"
Guardians of the Galaxy Vol. 2,JamesGunn,"ChrisPratt, ZoeSaldana, DaveBautista, VinDiesel",7.6,"Action,Adventure,Comedy",136min,UA,29/12/2005,FALSE,"129,856"
Scarface,BrianDePalma,"AlPacino, MichellePfeiffer, StevenBauer, MaryElizabethMastrantonio",8.3,"Crime,Drama",170min,A,09/04/1932,TRUE,"23,473"
Blade Runner,RidleyScott,"HarrisonFord, RutgerHauer, SeanYoung, EdwardJamesOlmos",8.1,"Action,Drama,Sci-Fi",117min,UA,08/10/1955,TRUE,"105,099"
Aliens,JamesCameron,"SigourneyWeaver, MichaelBiehn, CarrieHenn, PaulReiser",8.4,"Action,Adventure,Sci-Fi",137min,U,17/07/2009,TRUE,"286,621"
Shutter Island,MartinScorsese,"LeonardoDiCaprio, EmilyMortimer, MarkRuffalo, BenKingsley",8.2,"Mystery,Thriller",138min,A,01/03/1984,TRUE,"295,426"
Moneyball,BennettMiller,"BradPitt, RobinWright, JonahHill, PhilipSeymourHoffman",7.6,"Biography,Drama,Sport",133min,R,17/05/1902,FALSE,"61,702"
Deadpool 2,DavidLeitch,"RyanReynolds, JoshBrolin, MorenaBaccarin, JulianDennison",7.7,"Action,Adventure,Comedy",119min,R,02/04/1950,TRUE,"7,039"
Spider-Man: Into the Spider-Verse,"BobPersichetti,","RodneyRothman, , ShameikMoore, JakeJohnson, HaileeSteinfeld, MahershalaAli",8.4,"Animation,Action,Adventure",117min,U,24/10/2013,TRUE,"119,879"
Stand by Me,RobReiner,"WilWheaton, RiverPhoenix, CoreyFeldman, ""JerryOConnell""",8.1,"Adventure,Drama",89min,U,01/02/1910,FALSE,"280,503"
The Princess Bride,RobReiner,"CaryElwes, MandyPatinkin, RobinWright, ChrisSarandon",8,"Adventure,Family,Fantasy",98min,U,19/05/2014,FALSE,"151,168"
The Green Mile,FrankDarabont,"TomHanks, MichaelClarkeDuncan, DavidMorse, BonnieHunt",8.6,"Crime,Drama,Fantasy",189min,UA,11/10/1967,FALSE,"12,068"
Jojo Rabbit,TaikaWaititi,"RomanGriffinDavis, ThomasinMcKenzie, ScarlettJohansson, TaikaWaititi",7.9,"Comedy,Drama,War",108min,UA,28/11/1936,FALSE,"159,767"
12 Angry Men,SidneyLumet,"HenryFonda, LeeJ.Cobb, MartinBalsam, JohnFiedler",9,"Crime,Drama",96min,U,06/12/1975,FALSE,"165,768"
Casino Royale,MartinCampbell,"DanielCraig, EvaGreen, JudiDench, JeffreyWright",8,"Action,Adventure,Thriller",144min,UA,03/01/1974,TRUE,"196,423"
In Bruges,MartinMcDonagh,"ColinFarrell, BrendanGleeson, CiaránHinds, ElizabethBerrington",7.9,"Comedy,Crime,Drama",107min,R,22/11/2003,FALSE,"186,536"
Pride & Prejudice,JoeWright,"KeiraKnightley, MatthewMacfadyen, BrendaBlethyn, DonaldSutherland",7.8,"Drama,Romance",129min,R,29/12/1956,FALSE,"64,101"
Edge of Tomorrow,DougLiman,"TomCruise, EmilyBlunt, BillPaxton, BrendanGleeson",7.9,"Action,Adventure,Sci-Fi",113min,UA,31/03/1949,TRUE,"23,383"
The Lord of the Rings: The Return of the King,PeterJackson,"ElijahWood, ViggoMortensen, IanMcKellen, OrlandoBloom",9,"Action,Adventure,Drama",201min,U,22/11/1974,FALSE,"90,815"
The Godfather Part III,FrancisFordCoppola,"AlPacino, DianeKeaton, AndyGarcia, TaliaShire",7.6,"Crime,Drama",162min,A,19/03/1917,FALSE,"93,641"
Harry Potter and the Goblet of Fire,MikeNewell,"DanielRadcliffe, EmmaWatson, RupertGrint, EricSykes",7.7,"Adventure,Family,Fantasy",157min,UA,12/05/1941,FALSE,"46,845"
The Prestige,ChristopherNolan,"ChristianBale, HughJackman, ScarlettJohansson, MichaelCaine",8.5,"Drama,Mystery,Sci-Fi",130min,U,21/06/1920,TRUE,"95,227"
Dunkirk,ChristopherNolan,"FionnWhitehead, BarryKeoghan, MarkRylance, TomHardy",7.8,"Action,Drama,History",106min,UA,06/11/1924,TRUE,"147,1"
Harry Potter and the Deathly Hallows: Part 2,DavidYates,"DanielRadcliffe, EmmaWatson, RupertGrint, MichaelGambon",8.1,"Adventure,Fantasy,Mystery",130min,UA,20/09/1973,FALSE,"90,03"
American Beauty,SamMendes,"KevinSpacey, AnnetteBening, ThoraBirch, WesBentley",8.4,Drama,122min,UA,30/12/1993,FALSE,"237,055"
Chinatown,RomanPolanski,"JackNicholson, FayeDunaway, JohnHuston, PerryLopez",8.2,"Drama,Mystery,Thriller",130min,UA,10/06/1902,TRUE,"92,106"
Dead Poets Society,PeterWeir,"RobinWilliams, RobertSeanLeonard, EthanHawke, JoshCharles",8.1,"Comedy,Drama",128min,U,30/01/2015,FALSE,"114,86"
Raiders of the Lost Ark,StevenSpielberg,"HarrisonFord, KarenAllen, PaulFreeman, JohnRhys-Davies",8.4,"Action,Adventure",115min,A,15/10/1963,FALSE,"269,665"
Drive,NicolasWindingRefn,"RyanGosling, CareyMulligan, BryanCranston, AlbertBrooks",7.8,"Action,Drama",100min,A,16/04/2001,FALSE,"181,218"
The Sandlot,DavidMickeyEvans,"TomGuiry, MikeVitar, ArtLaFleur, PatrickRenna",7.8,"Comedy,Drama,Family",101min,U,11/03/1929,FALSE,"130,159"
The Truman Show,PeterWeir,"JimCarrey, EdHarris, LauraLinney, NoahEmmerich",8.2,"Comedy,Drama",103min,U,25/08/2013,TRUE,"178,647"
The Terminator,JamesCameron,"ArnoldSchwarzenegger, LindaHamilton, MichaelBiehn, PaulWinfield",8.1,"Action,Sci-Fi",107min,UA,20/07/2017,TRUE,"289,959"
Out of the Past,JacquesTourneur,"RobertMitchum, JaneGreer, KirkDouglas, RhondaFleming",8,"Crime,Drama,Film-Noir",97min,NA,21/11/1991,TRUE,"296,467"
The Shining,StanleyKubrick,"JackNicholson, ShelleyDuvall, DannyLloyd, ScatmanCrothers",8.4,"Drama,Horror",146min,A,13/03/1945,FALSE,"267,106"
A Clockwork Orange,StanleyKubrick,"MalcolmMcDowell, PatrickMagee, MichaelBates, WarrenClarke",8.3,"Crime,Sci-Fi",136min,A,17/12/1995,FALSE,"29,887"
There Will Be Blood,PaulThomasAnderson,"DanielDay-Lewis, PaulDano, CiaránHinds, MartinStringer",8.2,Drama,158min,A,15/04/1976,FALSE,"110,792"
Airplane!,"JimAbrahams,","JerryZucker, , RobertHays, JulieHagerty, LeslieNielsen, KareemAbdul-Jabbar",7.7,Comedy,88min,U,06/05/1918,FALSE,"87,537"
E.T. the Extra-Terrestrial,StevenSpielberg,"HenryThomas, DrewBarrymore, PeterCoyote, DeeWallace",7.9,"Adventure,Family,Sci-Fi",115min,U,26/08/1928,TRUE,"214,639"
Toy Story,JohnLasseter,"TomHanks, TimAllen, DonRickles, JimVarney",8.3,"Animation,Adventure,Comedy",81min,U,31/07/2019,TRUE,"189,027"
Batman Begins,ChristopherNolan,"ChristianBale, MichaelCaine, KenWatanabe, LiamNeeson",8.2,"Action,Crime,Drama",140min,UA,15/01/1911,TRUE,"111,058"
A Beautiful Mind,RonHoward,"RussellCrowe, EdHarris, JenniferConnelly, ChristopherPlummer",8.2,"Biography,Drama",135min,UA,12/10/1905,TRUE,"13,604"
The Longest Day,"KenAnnakin,","GerdOswald, BernhardWicki, DarrylF.Zanuck, , JohnWayne, RobertRyan, RichardBurton, HenryFonda",7.7,"Action,Drama,History",178min,U,12/07/1920,FALSE,"56,517"
Iron Man,JonFavreau,"RobertDowneyJr., GwynethPaltrow, TerrenceHoward, JeffBridges",7.9,"Action,Adventure,Sci-Fi",126min,UA,14/12/1949,TRUE,"280,361"
Zombieland,RubenFleischer,"JesseEisenberg, EmmaStone, WoodyHarrelson, AbigailBreslin",7.6,"Action,Comedy,Horror",88min,A,14/03/1957,FALSE,"24,083"
Atonement,JoeWright,"KeiraKnightley, JamesMcAvoy, BrendaBlethyn, SaoirseRonan",7.8,"Drama,Mystery,Romance",123min,UA,12/08/2001,FALSE,"283,317"
Good Will Hunting,GusVanSant,"RobinWilliams, MattDamon, BenAffleck, StellanSkarsgård",8.3,"Drama,Romance",126min,U,30/06/1925,FALSE,"151,733"
The Usual Suspects,BryanSinger,"KevinSpacey, GabrielByrne, ChazzPalminteri, StephenBaldwin",8.5,"Crime,Drama,Mystery",106min,A,26/06/1988,TRUE,"58,296"
The Lion King,"RogerAllers,",", MatthewBroderick, JeremyIrons, JamesEarlJones, WhoopiGoldberg",8.5,"Animation,Adventure,Drama",88min,U,29/07/1989,TRUE,"267,355"
The Avengers,JossWhedon,"RobertDowneyJr., ChrisEvans, ScarlettJohansson, JeremyRenner",8,"Action,Adventure,Sci-Fi",143min,UA,17/12/2004,FALSE,"140,227"
Sen to Chihiro no kamikakushi,HayaoMiyazaki,"DaveighChase, SuzannePleshette, MiyuIrino, RumiHiiragi",8.6,"Animation,Adventure,Family",125min,U,14/06/1920,TRUE,"66,601"
Oldeuboi,ParkChan-wook,"ChoiMin-sik, YooJi-Tae, KangHye-jeong, KimByeong-Ok",8.4,"Action,Drama,Mystery",101min,A,03/04/1931,FALSE,"45,662"
The Sound of Music,RobertWise,"JulieAndrews, ChristopherPlummer, EleanorParker, RichardHaydn",8.1,"Biography,Drama,Family",172min,U,23/10/1920,TRUE,"216,135"
K.G.F: Chapter 1,PrashanthNeel,"Yash, SrinidhiShetty, RamachandraRaju, ArchanaJois",8.2,"Action,Crime,Drama",156min,UA,24/03/1948,FALSE,"157,696"
Jaws,StevenSpielberg,"RoyScheider, RobertShaw, RichardDreyfuss, LorraineGary",8.1,"Adventure,Thriller",124min,A,24/04/1991,FALSE,"279,452"
Star Trek,J.J.Abrams,"ChrisPine, ZacharyQuinto, SimonPegg, LeonardNimoy",7.9,"Action,Adventure,Sci-Fi",127min,UA,23/05/1946,TRUE,"255,888"
Oceans Eleven,StevenSoderbergh,"GeorgeClooney, BradPitt, JuliaRoberts, MattDamon",7.7,"Crime,Thriller",116min,UA,12/08/2012,FALSE,"96,127"
Superbad,GregMottola,"MichaelCera, JonahHill, ChristopherMintz-Plasse, BillHader",7.6,Comedy,113min,A,04/08/1933,TRUE,"166,223"
The Sixth Sense,M.NightShyamalan,"BruceWillis, HaleyJoelOsment, ToniCollette, OliviaWilliams",8.2,"Drama,Mystery,Thriller",107min,A,05/11/1971,FALSE,"26,23"
